Participant ID,Time,Requested,Flick Force
8678,450619768.4,No Flick,0.0673545
8678,450619773.4,Flick,2.11451
8678,450619778.4,Flick,2.65854
8678,450619782.8,Flick,1.49709
8678,450619786.9,No Flick,0.0807339
8678,450619790.9,Flick,1.62429
8678,450619794.9,No Flick,0.100336
8678,450619799.3,No Flick,0.107566
8678,450619803.2,No Flick,0.0460196
8678,450619806.8,Flick,1.43181
406,450554375.4,No Flick,0.0959278
406,450554378.4,No Flick,0.0518311
406,450554380.2,No Flick,0.0869931
406,450554381.8,No Flick,0.10811
406,450554384.4,Flick,0.552464
406,450554388.6,No Flick,0.0967177
406,450554391.1,Flick,0.346264
406,450554393.5,Flick,0.276144
406,450554395.9,Flick,0.337813
406,450554398,Flick,0.377152
4680,450553578.7,No Flick,0.0292256
4680,450553586,No Flick,0.0721229
4680,450553592.7,Flick,1.94104
4680,450553599.3,No Flick,0.0734555
4680,450553604.1,Flick,1.9812
4680,450553609.5,No Flick,0.0694067
4680,450553615.1,Flick,1.15467
4680,450553619.5,Flick,1.23689
4680,450553626.3,No Flick,0.073998
4680,450553631,Flick,1.03491
5406,450564484.9,Flick,3.55289
5406,450564491.1,No Flick,0.0871316
5406,450564495.4,Flick,0.849175
5406,450564498.5,Flick,2.64054
5406,450564502.7,No Flick,0.0419952
5406,450564506.1,No Flick,0.0377819
5406,450564509.4,No Flick,0.0502995
5406,450564512.3,No Flick,0.0449241
5406,450564515,Flick,0.591057
5406,450564517.1,Flick,1.10493
8739,450569010.9,Flick,0.890147
8739,450569016.4,Flick,0.454748
8739,450569020.3,Flick,0.433232
8739,450569023.4,Flick,0.68102
8739,450569027.2,No Flick,0.109818
8739,450569030,Flick,0.545991
8739,450569032.7,No Flick,0.191608
8739,450569035.7,No Flick,0.0947031
8739,450569038.3,No Flick,0.201782
8739,450569041.1,No Flick,0.159512
4309,450614366.3,Flick,0.70135
4309,450614373.3,Flick,0.876264
4309,450614378.2,No Flick,0.15547
4309,450614382.1,Flick,0.906934
4309,450614386.3,Flick,0.504711
4309,450614390.5,Flick,1.24198
4309,450614394.9,No Flick,0.296484
4309,450614399.2,No Flick,0.374977
4309,450614403.6,No Flick,0.451984
4309,450614407.5,No Flick,0.334254
817,450614959.4,Flick,3.06858
817,450614963.4,No Flick,1.6787
817,450614967.2,No Flick,0.0574806
817,450614970.2,Flick,2.26942
817,450614972.9,No Flick,0.0634373
817,450614975.5,No Flick,0.121127
817,450614977.6,No Flick,0.103563
817,450614979.9,Flick,0.580833
817,450614982.7,Flick,0.197928
817,450614985.3,Flick,0.769086
7221,450615570.6,No Flick,0.440221
7221,450615574.2,Flick,1.16761
7221,450615577.2,Flick,0.835277
7221,450615580,Flick,1.12935
7221,450615582.5,Flick,1.12693
7221,450615585.5,No Flick,0.500345
7221,450615588.7,Flick,1.57685
7221,450615591.1,No Flick,0.751448
7221,450615594.2,No Flick,0.362038
7221,450615596.5,No Flick,0.37431
1635,450616483.3,No Flick,0.232006
1635,450616490.1,No Flick,0.280883
1635,450616494.7,Flick,0.592587
1635,450616502,No Flick,0.0813971
1635,450616506.3,No Flick,0.0581175
1635,450616510.5,No Flick,0.0504095
1635,450616514.6,Flick,0.804975
1635,450616518.9,Flick,0.22229
1635,450616523.5,Flick,0.360822
1635,450616527.6,Flick,0.329564
2113,450618314.2,Flick,1.58822
2113,450618318.9,No Flick,0.133981
2113,450618323.3,No Flick,0.499887
2113,450618326.6,Flick,0.756545
2113,450618332.2,Flick,1.16738
2113,450618335.6,Flick,0.710519
2113,450618339.1,No Flick,0.206012
2113,450618342.1,Flick,0.637587
2113,450618345.3,No Flick,0.27603
2113,450618349,No Flick,0.258043
1685,450618896,Flick,1.52402
1685,450618901.5,Flick,1.41792
1685,450618905.4,No Flick,0.111578
1685,450618908.7,No Flick,0.0877777
1685,450618911.7,No Flick,0.119632
1685,450618914.4,No Flick,0.150086
1685,450618917.4,Flick,1.76472
1685,450618923,Flick,1.83472
1685,450618927.2,No Flick,0.0936148
1685,450618930.2,Flick,1.22705
6258,450697904.1,Flick,1.6655
6258,450697908.4,No Flick,0.0597215
6258,450697911,Flick,2.60382
6258,450697915.2,No Flick,0.187423
6258,450697917.9,No Flick,0.154755
6258,450697920.3,No Flick,0.209247
6258,450697922.6,No Flick,0.167493
6258,450697925.2,Flick,2.92707
6258,450697927.6,Flick,1.74767
6258,450697929.8,Flick,2.20374
420,450698565.7,No Flick,0.182501
420,450698571.1,No Flick,0.233966
420,450698574.2,No Flick,0.0887433
420,450698577.3,No Flick,0.16866
420,450698581.3,Flick,1.05402
420,450698585.7,Flick,0.568215
420,450698588.3,No Flick,0.198258
420,450698593.8,Flick,0.58913
420,450698597.7,Flick,0.809228
420,450698601.3,Flick,0.482429
8474,450701551.7,No Flick,0.0929422
8474,450701555.2,Flick,2.73989
8474,450701557.7,No Flick,0.118284
8474,450701559.5,Flick,2.41405
8474,450701561.8,Flick,2.26218
8474,450701564.2,Flick,2.45537
8474,450701567,Flick,3.34668
8474,450701569.3,No Flick,0.0754084
8474,450701571.9,No Flick,0.0408947
8474,450701574.5,No Flick,0.11784
