Participant ID,Time,Requested Force,Attempt,Tapped Force
1171,450613971.3,0.45,1,0.203892
1171,450613986.2,0.45,1,0.773727
1171,450613999.9,1,1,0.889792
1171,450614016.7,0.2,1,0.252249
1171,450614030.1,0.5,1,0.456333
1171,450614042.4,0.7,1,0.476103
1171,450614056.1,0.2,1,0.13093
1171,450614069.7,0.85,1,0.626414
1171,450614082.5,0.1,1,0.21461
1171,450614094.4,0.45,1,0.407164
2541,450619122.9,0.4,1,0.0934065
2541,450619140.8,0.4,1,0.248058
2541,450619156.1,0.1,1,0.223575
2541,450619171.7,0.9,1,0.347754
2541,450619192.9,0.35,1,0.528229
2541,450619217,0.75,1,0.524
2541,450619230.7,0.95,1,0.971407
2541,450619244.2,0.7,1,0.380331
2541,450619257.6,0.15,1,0.187444
2541,450619270.8,0.2,1,0.252438
3629,450564230.7,0.5,1,0.629137
3629,450564240.4,0.75,1,0.513242
3629,450564248.3,0.95,1,0.690576
3629,450564255.9,0.1,1,0.15437
3629,450564265.3,0.2,1,0.213788
3629,450564274.6,0.3,1,0.178928
3629,450564282.1,0.55,1,0.294224
3629,450564290,0.05,1,0.0764834
3629,450564296.6,0.7,1,0.246822
3629,450564303.9,1,1,0.595054
3894,450613332.9,0.7,1,0.275615
3894,450613350.6,0.65,1,0.264251
3894,450613355.5,0.8,1,0.70758
3894,450613360.2,0.95,1,1.33928
3894,450613373.5,0.4,1,0.596894
3894,450613384.5,0.65,1,0.717291
3894,450613397.6,0.2,1,0.222991
3894,450613408.3,0.35,1,0.435639
3894,450613420.6,0.9,1,1.23723
3894,450613430.4,0.2,1,0.217243
3894,450613440.3,0.15,1,0.0828502
3894,450613450,0.9,1,0.984904
5209,450618537.2,0.35,1,0.359954
5209,450618553.5,0.65,1,0.360948
5209,450618564.7,0.4,1,0.351075
5209,450618576.2,0.5,1,0.446492
5209,450618587.3,0.15,1,0.153831
5209,450618598.2,0.3,1,0.362043
5209,450618609.8,0.7,1,0.418513
5209,450618621,0.2,1,0.393084
5209,450618631.6,0.4,1,0.333639
5209,450618642.1,0.05,1,0.192305
5996,450616004.9,0.4,1,0.0641153
5996,450616017.5,0.1,1,0.181883
5996,450616028.3,0.85,1,0.107353
5996,450616039.3,0.15,1,0.121188
5996,450616049.3,0.8,1,0.142684
5996,450616060.2,1,1,0.192801
5996,450616073,1,1,0.311626
5996,450616084.2,0.4,1,0.189767
5996,450616094.7,0.75,1,0.208873
5996,450616105.6,0.35,1,0.134188
7004,450697550.2,0.45,1,0.14871
7004,450697560.8,0.4,1,0.237747
7004,450697569.1,0.1,1,0.107215
7004,450697577.7,0.65,1,0.247286
7004,450697586.3,0.75,1,0.315917
7004,450697595.5,0.95,1,0.555368
7004,450697602.8,0.7,1,0.685513
7004,450697611.8,0.05,1,0.0888913
7004,450697620.6,1,1,1.62896
7004,450697628.2,0.55,1,0.282717
7200,450568583.5,0.4,1,0.364294
7200,450568607.7,0.55,1,0.866523
7200,450568618.6,0.2,1,0.43725
7200,450568629.1,0.8,1,0.826824
7200,450568641,0.8,1,0.538599
7200,450568651.2,0.75,1,0.697928
7200,450568661.4,0.6,1,0.838109
7200,450568670.7,0.9,1,1.05732
7200,450568680.8,0.55,1,0.458304
7200,450568689.2,0.65,1,0.349757
7366,450614598.9,0.7,1,1.5355
7366,450614616.4,0.75,1,0.623325
7366,450614629.6,0.5,1,0.297475
7366,450614641.2,0.15,1,0.0891482
7366,450614652.4,0.2,1,0.38043
7366,450614664,0.6,1,0.186874
7366,450614676.2,0.95,1,1.13557
7366,450614689.2,0.5,1,0.343644
7366,450614702.8,0.4,1,0.952095
7366,450614719.5,0.45,1,0.401516
9098,450615218,0.95,1,0.19264
9098,450615227.5,0.15,1,0.128191
9098,450615238.8,0.25,1,0.091772
9098,450615249,0.55,1,0.473125
9098,450615260.8,0.6,1,0.431183
9098,450615268.9,0.95,1,0.951561
9098,450615273.9,0.6,1,0.310227
9098,450615284.4,0.05,1,0.110579
9098,450615293.8,0.45,1,0.336202
9098,450615302.9,0.8,1,0.540305
9098,450615312.9,0.05,1,0.350306
9098,450615322.9,0.85,1,1.10461
9190,450701047.6,0.45,1,0.714554
9190,450701056.1,0.7,1,0.750421
9190,450701064.5,0.2,1,0.015307
9190,450701073,0.6,1,0.379674
9190,450701081.5,0.1,1,0.0793818
9190,450701090.5,1,1,1.60873
9190,450701102.6,1,1,0.60924
9190,450701111.7,0.6,1,0.526485
9190,450701211.8,0.05,1,0.0428947
9190,450701214.1,1,1,1.43951
9190,450701221.6,0.65,1,0.811103
9230,450698076,0.4,1,0.21065
9230,450698096.7,0.9,1,0.813958
9230,450698109.9,0.9,1,0.892725
9230,450698122.8,1,1,0.969604
9230,450698133.5,0.35,1,0.286254
9230,450698145.1,1,1,0.968068
9230,450698156,0.4,1,0.206991
9230,450698167,1,1,2.41146
9230,450698180.9,0.3,1,0.40692
9230,450698185.9,0.95,1,0.606248
9230,450698195.5,0.55,1,0.44274
9630,450617912.1,0.15,1,0.156864
9630,450617925.9,0.4,1,0.294478
9630,450617949.8,0.9,1,0.607957
9630,450617964.9,0.15,1,0.275686
9630,450617977.1,0.2,1,0.259934
9630,450617990.4,0.2,1,0.333951
9630,450618001.3,0.3,1,0.179567
9630,450618012,0.15,1,0.109603
9630,450618023.1,0.45,1,0.439589
9630,450618034.1,0.35,1,0.388302
1171,450613975,0.45,2,0.538832
1171,450613990.5,0.45,2,0.474508
1171,450614003.6,1,2,0.585755
1171,450614020.7,0.2,2,0.251808
1171,450614033.6,0.5,2,0.598876
1171,450614045.4,0.7,2,0.607409
1171,450614059.6,0.2,2,0.621985
1171,450614072.6,0.85,2,0.510221
1171,450614085.8,0.1,2,0.273389
1171,450614097.5,0.45,2,0.261104
2541,450619125.7,0.4,2,0.176292
2541,450619144.3,0.4,2,0.231343
2541,450619160.3,0.1,2,0.179969
2541,450619175,0.9,2,0.922963
2541,450619196.2,0.35,2,0.254328
2541,450619220.2,0.75,2,0.239937
2541,450619234,0.95,2,0.623315
2541,450619247.9,0.7,2,0.625357
2541,450619260.8,0.15,2,0.219362
2541,450619273.9,0.2,2,0.30156
3629,450564233.7,0.5,2,0.90289
3629,450564242.4,0.75,2,0.434629
3629,450564250.3,0.95,2,0.960826
3629,450564258.3,0.1,2,0.158138
3629,450564268.1,0.2,2,0.260893
3629,450564276.7,0.3,2,0.340268
