Individual ID,Participant ID,Age,Gender,Handed
1,5166,23,Male,Right
1,3894,23,Male,Right
1,8892,23,Male,Right
1,7575,23,Male,Right
1,7220,23,Male,Right
2,8902,30,Male,Right
2,1171,30,Male,Right
2,7956,30,Male,Right
2,2171,30,Male,Right
3,7632,29,Female,Right
3,7366,29,Female,Right
3,6221,29,Female,Right
3,8716,29,Female,Right
3,817,29,Female,Right
4,9098,34,Male,Right
4,1300,34,Male,Right
4,2702,34,Male,Right
4,3455,34,Male,Right
5,1635,36,Female,Right
5,187,36,Female,Right
5,5752,36,Female,Right
5,5996,36,Female,Right
5,7455,36,Female,Right
6,9630,23,Male,Left
6,5710,23,Male,Left
6,2113,23,Male,Left
6,3020,23,Male,Left
6,598,23,Male,Left
7,5209,29,Male,Right
7,92,29,Male,Right
7,5258,29,Male,Right
7,6862,29,Male,Right
7,1685,29,Male,Right
8,2541,43,Male,Right
8,6905,43,Male,Right
8,2187,43,Male,Right
8,8200,43,Male,Right
8,8678,43,Male,Right
9,6925,25,Male,Right
9,2113,25,Male,Right
9,8238,25,Male,Right
9,9185,25,Male,Right
10,7004,22,Male,Right
10,2741,22,Male,Right
10,7930,22,Male,Right
10,7500,22,Male,Right
10,6258,22,Male,Right
11,9230,23,Male,Right
11,3506,23,Male,Right
11,330,23,Male,Right
11,1450,23,Male,Right
11,420,23,Male,Right
12,8739,25,Female,Right
12,9394,25,Female,Right
12,6832,25,Female,Right
12,7200,25,Female,Right
12,8645,25,Female,Right
13,5406,24,Female,Right
13,8850,24,Female,Right
13,6062,24,Female,Right
13,3629,24,Female,Right
13,6141,24,Female,Right
14,8850,25,Female,Right
14,6062,25,Female,Right
14,3629,25,Female,Right
14,6141,25,Female,Right
14,406,25,Female,Right
15,9826,66,Male,Right
15,6698,66,Male,Right
15,4467,66,Male,Right
15,7519,66,Male,Right
15,4680,66,Male,Right
16,8710,22,Male,Right
16,9190,22,Male,Right
16,9307,22,Male,Right
16,1254,22,Male,Right
16,8474,22,Male,Right
