Participant ID,Time,Max Angle,Min Angle,Requested Angle,End Angle,Time Taken
8200,450619635.6,15.6478,-1.44319,14.5568,18.0548,7.347230017
8200,450619645,15.6478,-1.44319,-0.44319,-1.11622,2.084037006
8200,450619654.1,15.6478,-1.44319,12.5568,-1.81705,4.399123967
8200,450619667.9,15.6478,-1.44319,9.55681,8.21928,3.331524014
8200,450619676.5,15.6478,-1.44319,14.5568,11.4268,3.877930999
8200,450619690,15.6478,-1.44319,0.55681,1.64647,7.567121029
8200,450619713,15.6478,-1.44319,-1.44319,-1.18361,6.863407016
8200,450619721.8,15.6478,-1.44319,8.55681,7.1523,5.165373981
8200,450619730,15.6478,-1.44319,11.5568,10.2973,4.517765999
8200,450619737.4,15.6478,-1.44319,5.55681,4.56388,4.264869988
9826,450554306.9,64.1311,0,16,17.465,4.627617002
9826,450554312,64.1311,0,32,26.9932,3.30142802
9826,450554317.5,64.1311,0,58,16.0072,3.517520964
9826,450554325.3,64.1311,0,51,27.1126,3.234318018
9826,450554329.9,64.1311,0,61,28.8929,2.104722023
9826,450554335,64.1311,0,39,42.4581,3.246594965
9826,450554338.3,64.1311,0,32,11.1359,1.82049799
9826,450554346,64.1311,0,1,7.97301,0.468923032
9826,450554350.5,64.1311,0,19,23.2735,2.24515003
9826,450554353.5,64.1311,0,54,27.2961,1.776829004
8850,450564430.2,39.6167,-43.0611,9.9389,8.98731,1.830542982
8850,450564433.9,39.6167,-43.0611,23.9389,22.911,1.239305019
8850,450564437.9,39.6167,-43.0611,-28.0611,-24.3737,1.721427977
8850,450564441.7,39.6167,-43.0611,-21.0611,-19.8077,1.731312037
8850,450564444.7,39.6167,-43.0611,-20.0611,-19.7505,1.296047986
8850,450564448.2,39.6167,-43.0611,18.9389,17.4799,1.673772991
8850,450564451.3,39.6167,-43.0611,-15.0611,-15.6336,1.457684994
8850,450564455,39.6167,-43.0611,-29.0611,-19.4396,1.650137961
8850,450564458.9,39.6167,-43.0611,4.9389,6.21098,2.230012
8850,450564462.4,39.6167,-43.0611,-10.0611,-9.79514,1.246281981
9394,450568914.8,54.9647,-11.6051,51.3949,51.8389,2.199034989
9394,450568919.1,54.9647,-11.6051,26.3949,25.2174,1.775913
9394,450568923.5,54.9647,-11.6051,53.3949,53.5644,2.338023007
9394,450568927.9,54.9647,-11.6051,14.3949,12.7936,2.437996984
9394,450568931.3,54.9647,-11.6051,37.3949,36.0332,1.64664799
9394,450568934,54.9647,-11.6051,11.3949,10.4642,0.89734596
9394,450568936.5,54.9647,-11.6051,0.394905,2.61415,0.795033991
9394,450568939.5,54.9647,-11.6051,9.39491,9.06051,1.36559397
9394,450568943.9,54.9647,-11.6051,27.3949,26.4133,2.753289998
9394,450568947.5,54.9647,-11.6051,17.3949,15.2689,1.892666996
8892,450613562.2,31.1214,0,17,16.0122,1.226612031
8892,450613572.4,31.1214,0,8,7.81088,6.048349023
8892,450613584.7,31.1214,0,1,-0.116421,3.905233979
8892,450613592.2,31.1214,0,25,22.7272,4.933203042
8892,450613597.8,31.1214,0,0,1.88909,0.002151966
8892,450613607,31.1214,0,29,25.6484,3.117728949
8892,450613611.7,31.1214,0,22,19.2796,2.323715031
8892,450613615.8,31.1214,0,24,20.8341,2.537198007
8892,450613621.6,31.1214,0,29,26.003,2.791756988
8892,450613628.2,31.1214,0,5,3.92554,4.569301963
2171,450614288.6,40.9915,0,20,15.4502,1.809547007
2171,450614293.9,40.9915,0,25,11.7766,1.485301018
2171,450614298.3,40.9915,0,5,5.11566,0.871998012
2171,450614302.6,40.9915,0,14,12.1343,1.095588982
2171,450614307.6,40.9915,0,36,9.56609,2.433522999
2171,450614316.2,40.9915,0,35,9.76269,2.632295966
2171,450614321.5,40.9915,0,24,13.2411,1.692794979
2171,450614327.8,40.9915,0,37,14.7875,2.370034993
2171,450614333.1,40.9915,0,17,8.91617,1.689328969
2171,450614340,40.9915,0,25,13.3945,3.345905006
8716,450614880.4,40.8874,-0.0788701,29.9211,28.3683,2.83426398
8716,450614884.6,40.8874,-0.0788701,1.92113,0.368009,2.146233022
8716,450614889.8,40.8874,-0.0788701,26.9211,16.1025,3.325664997
8716,450614894.7,40.8874,-0.0788701,19.9211,19.4825,2.079089999
8716,450614900.6,40.8874,-0.0788701,29.9211,26.6049,3.88281101
8716,450614904.4,40.8874,-0.0788701,21.9211,18.057,2.092009008
8716,450614906.8,40.8874,-0.0788701,0.92113,1.44978,0.630831003
8716,450614911.1,40.8874,-0.0788701,23.9211,23.6345,2.759760976
8716,450614916.7,40.8874,-0.0788701,27.9211,17.1841,3.505131006
8716,450614923.1,40.8874,-0.0788701,21.9211,19.6758,3.746510983
3455,450615507.4,46.2452,-16.3045,-0.304527,-4.84608,4.420152009
3455,450615517,46.2452,-16.3045,-8.30453,-9.30372,6.766049981
3455,450615521.2,46.2452,-16.3045,8.69547,7.32564,2.297060013
3455,450615524.5,46.2452,-16.3045,4.69547,4.01848,1.260428011
3455,450615528.3,46.2452,-16.3045,12.6955,12.5566,1.726066053
3455,450615531.7,46.2452,-16.3045,3.69547,4.35987,1.703324974
3455,450615537.4,46.2452,-16.3045,40.6955,40.1709,3.608364999
3455,450615542.6,46.2452,-16.3045,34.6955,34.9342,2.953595996
3455,450615546.2,46.2452,-16.3045,-9.30453,24.1171,1.333181024
3455,450615553.8,46.2452,-16.3045,0.695473,2.41074,2.620343029
5752,450616364.8,55.3425,-1.06826,15.9317,15.5025,4.075493991
5752,450616368.7,55.3425,-1.06826,17.9317,15.974,1.50641799
5752,450616377.8,55.3425,-1.06826,13.9317,11.2525,1.753352046
5752,450616383.4,55.3425,-1.06826,29.9317,27.7516,3.414564013
5752,450616387,55.3425,-1.06826,10.9317,7.46694,1.245729983
5752,450616393.3,55.3425,-1.06826,38.9317,37.5267,4.329945982
5752,450616397.9,55.3425,-1.06826,51.9317,44.1646,2.130014002
5752,450616402.2,55.3425,-1.06826,12.9317,9.86933,1.845567942
5752,450616406.5,55.3425,-1.06826,42.9317,34.0833,2.342484951
5752,450616410,55.3425,-1.06826,15.9317,14.8356,1.089379966
598,450618254.6,49.5537,0,5,2.86778,1.97527802
598,450618260.8,49.5537,0,21,22.9848,0.990318954
598,450618265.1,49.5537,0,44,35.949,1.480163991
598,450618269.8,49.5537,0,44,38.2805,1.353157997
598,450618274.8,49.5537,0,0,2.21829,0.280437052
598,450618280.9,49.5537,0,35,33.9387,0.987712026
598,450618285.5,49.5537,0,8,4.65559,1.445201993
598,450618289.3,49.5537,0,46,33.5033,1.084540009
598,450618292.6,49.5537,0,0,3.17533,0.014642
598,450618296.7,49.5537,0,28,23.1867,1.342184007
6862,450618836.1,42.3393,0,28,9.87225,0.594682038
6862,450618848.8,42.3393,0,28,28.3657,1.923506975
6862,450618852.1,42.3393,0,13,12.6859,0.568064988
6862,450618854.4,42.3393,0,6,3.90519,0.479366004
6862,450618857.3,42.3393,0,26,22.803,1.04410404
6862,450618860.7,42.3393,0,19,17.4547,0.929262042
6862,450618863.8,42.3393,0,15,14.2468,1.19116801
6862,450618866.9,42.3393,0,35,18.1859,0.656414986
6862,450618871,42.3393,0,13,12.4467,0.706948996
6862,450618874.8,42.3393,0,0,-0.620063,0.012721002
1254,450701509.6,35.2687,-7.7449,5.2551,5.16843,0.748265982
1254,450701513.7,35.2687,-7.7449,21.2551,20.9555,2.549825966
1254,450701520.9,35.2687,-7.7449,-3.7449,-4.96018,5.523265004
1254,450701523.4,35.2687,-7.7449,17.2551,16.6466,0.840426028
1254,450701526.9,35.2687,-7.7449,29.2551,28.5072,1.956050992
1254,450701530.3,35.2687,-7.7449,31.2551,30.1649,1.692992985
1254,450701533.6,35.2687,-7.7449,-4.7449,-9.07089,1.408154011
1254,450701537,35.2687,-7.7449,3.2551,4.73669,1.755391002
1254,450701539.3,35.2687,-7.7449,7.2551,8.17552,0.876555979
1254,450701541.6,35.2687,-7.7449,9.2551,8.84462,0.950859964
