Participant ID,Time,Max Angle,Min Angle,Placeholder Angle,Angle to Rotate,End Image Angle,Time Taken
5258,450618769.3,121.996,-111.827,101.173,106,101.081,2.43029505
5258,450618775.5,121.996,-111.827,37.1729,42,36.4227,3.850656986
5258,450618780.4,121.996,-111.827,79.1729,94,77.5343,2.43551302
5258,450618786.2,121.996,-111.827,21.1729,117,20.1268,2.580419004
5258,450618789.6,121.996,-111.827,109.173,79,110.943,1.142581999
5258,450618793,121.996,-111.827,47.1729,44,47.2949,1.675358951
5258,450618796.5,121.996,-111.827,99.1729,96,99.9032,1.507293999
5258,450618799.4,121.996,-111.827,89.1729,41,90.2093,0.941252947
5258,450618804.6,121.996,-111.827,90.1729,169,91.6626,1.755015016
5258,450618809.6,121.996,-111.827,117.173,175,41.0431,2.131334007
6809,450553339.7,116.702,-67.0769,26.9231,74,23.4927,10.86670703
6809,450553349.5,116.702,-67.0769,73.9231,134,72.8904,4.283050954
6809,450553358.2,116.702,-67.0769,105.923,129,104.909,3.483102977
6809,450553363.9,116.702,-67.0769,101.923,73,100.454,2.117844999
6809,450553369.5,116.702,-67.0769,31.9231,37,31.8997,3.061218977
6809,450553374.3,116.702,-67.0769,33.9231,90,34.475,2.222890973
6809,450553379.3,116.702,-67.0769,107.923,16,106.233,1.511105001
6809,450553384.6,116.702,-67.0769,34.9231,7,33.4775,2.968460023
6809,450553389.9,116.702,-67.0769,66.9231,73,66.0289,2.597067952
6809,450553394.7,116.702,-67.0769,-2.07686,46,-3.90559,1.729182959
6698,450554245.6,172.342,-88.5214,126.479,17,126.198,1.930664003
6698,450554247.9,172.342,-88.5214,163.479,10,163.477,0.424602985
6698,450554250.8,172.342,-88.5214,86.4786,76,84.8433,1.107946992
6698,450554257.8,172.342,-88.5214,82.4786,86,82.0346,5.425558984
6698,450554260.8,172.342,-88.5214,73.4786,44,70.9943,1.044358969
6698,450554263.1,172.342,-88.5214,2.47857,55,-0.836794,0.892989039
6698,450554266.2,172.342,-88.5214,101.479,116,103.579,2.092727005
6698,450554268.8,172.342,-88.5214,81.4786,128,-75.0149,0.002815008
6698,450554271.9,172.342,-88.5214,112.479,88,110.468,1.307246029
6698,450554274.4,172.342,-88.5214,119.479,11,120.175,0.738591969
6062,450564337.5,125.333,-119.873,23.1274,46,23.4152,1.74267
6062,450564341.3,125.333,-119.873,-24.8726,6,-25.0753,1.155431986
6062,450564345.9,125.333,-119.873,90.1274,78,89.3985,2.412135005
6062,450564349.2,125.333,-119.873,-14.8726,32,-14.7186,1.70202899
6062,450564357.1,125.333,-119.873,87.1274,135,84.5383,1.808978021
6062,450564361.5,125.333,-119.873,-30.8726,30,-30.1157,2.667109966
6062,450564364.9,125.333,-119.873,-34.8726,80,-35.8379,1.855697036
6062,450564371.6,125.333,-119.873,46.1274,149,43.3523,3.879466951
6062,450564375.4,125.333,-119.873,-28.8726,54,-29.6339,2.010205984
6062,450564377.7,125.333,-119.873,3.12738,39,2.37338,1.070488036
6832,450568773.2,132.808,-113.569,74.4313,115,72.7581,2.421576023
6832,450568778.8,132.808,-113.569,47.4313,92,45.2268,1.922648013
6832,450568782.5,132.808,-113.569,-16.5687,7,-14.3956,1.29213804
6832,450568787.2,132.808,-113.569,-2.56873,85,-5.6025,2.487075984
6832,450568791.4,132.808,-113.569,14.4313,80,11.9433,1.782613039
6832,450568795.2,132.808,-113.569,11.4313,34,11.4077,1.604665041
6832,450568798.8,132.808,-113.569,73.4313,12,72.6691,1.212251008
6832,450568803.2,132.808,-113.569,59.4313,119,59.1066,1.794341028
6832,450568807.7,132.808,-113.569,115.431,38,113.119,1.911479056
6832,450568811.6,132.808,-113.569,40.4313,107,37.1849,1.86599201
7575,450613504,55.883,-107.629,-28.629,16,-28.8179,1.528189003
7575,450613507.9,55.883,-107.629,-11.629,29,-14.9374,1.371282995
7575,450613514.6,55.883,-107.629,-10.629,26,-12.2239,0.960987985
7575,450613518.4,55.883,-107.629,-0.628952,99,-112.318,1.432667971
7575,450613522.9,55.883,-107.629,-24.629,58,-22.68,1.720734
7575,450613528.6,55.883,-107.629,45.3711,100,45.5644,2.154175043
7575,450613532,55.883,-107.629,-37.629,25,-36.8367,1.213245034
7575,450613536,55.883,-107.629,23.371,64,24.8567,1.772369027
7575,450613539.7,55.883,-107.629,-50.629,57,-48.9861,1.488501012
7575,450613542.8,55.883,-107.629,-11.629,95,-10.1418,1.292751014
7956,450614194.2,133.833,-28.5059,54.4941,38,50.6442,2.552047014
7956,450614200.8,133.833,-28.5059,21.4941,47,12.8262,3.137649
7956,450614206.8,133.833,-28.5059,103.494,83,104.312,2.367154002
7956,450614215.4,133.833,-28.5059,127.494,142,126.87,3.280243993
7956,450614220,133.833,-28.5059,9.49413,19,10.9202,1.996559978
7956,450614224.4,133.833,-28.5059,126.494,67,125.615,1.545000017
7956,450614229,133.833,-28.5059,110.494,43,111.276,2.260527968
7956,450614235,133.833,-28.5059,132.494,111,129.05,2.709335029
7956,450614242.7,133.833,-28.5059,24.4941,28,24.8391,2.229152024
7956,450614247,133.833,-28.5059,19.4941,40,18.2747,2.238090992
6221,450614801.6,176.056,-69.1274,123.873,14,122.386,5.208594978
6221,450614805.6,176.056,-69.1274,174.873,109,65.3648,1.216202021
6221,450614809.6,176.056,-69.1274,89.8726,5,93.7619,1.577095985
6221,450614814.2,176.056,-69.1274,83.8726,58,84.0353,2.505475998
6221,450614817.6,176.056,-69.1274,62.8726,29,70.4228,1.645736039
6221,450614822.1,176.056,-69.1274,164.873,43,168.43,2.787992001
6221,450614826.8,176.056,-69.1274,-29.1274,24,-28.4301,2.949353993
6221,450614832.4,176.056,-69.1274,59.8726,34,59.8686,3.728073001
6221,450614836.7,176.056,-69.1274,100.873,29,102.32,2.775103986
6221,450614845.1,176.056,-69.1274,97.8726,153,96.7615,6.497979999
2702,450615445.6,143.068,-121.536,58.4643,41,57.9852,3.770365
2702,450615450.4,143.068,-121.536,-25.5357,89,-24.6025,1.808908999
2702,450615453.8,143.068,-121.536,-90.5357,12,-90.1499,1.646257043
2702,450615457.7,143.068,-121.536,96.4643,32,96.8384,1.569038987
2702,450615460.5,143.068,-121.536,20.4643,10,22.1178,1.034825027
2702,450615465.5,143.068,-121.536,-3.53568,92,-3.27081,3.033407032
2702,450615469.9,143.068,-121.536,25.4643,126,25.357,2.495598972
2702,450615472.9,143.068,-121.536,111.464,14,110.88,1.207491994
2702,450615474.9,143.068,-121.536,56.4643,6,55.6164,0.628539979
2702,450615478.8,143.068,-121.536,108.464,165,109.29,1.256343007
187,450616263.8,130.754,-119.143,95.8566,135,95.2977,2.702588975
187,450616267.8,130.754,-119.143,90.8566,98,88.742,1.195408046
187,450616271.9,130.754,-119.143,74.8566,89,76.5642,1.948918998
187,450616279.8,130.754,-119.143,120.857,137,168.651,4.379527986
187,450616283.5,130.754,-119.143,93.8566,44,91.2581,0.798016012
187,450616288,130.754,-119.143,57.8566,60,57.0786,2.613381982
187,450616294.5,130.754,-119.143,22.8566,139,-16.2694,3.641066968
187,450616298.6,130.754,-119.143,9.85659,79,10.1317,1.608971
187,450616304.9,130.754,-119.143,102.857,182,135.113,3.706423998
187,450616308.4,130.754,-119.143,9.85659,27,7.02571,1.121836007
9307,450701461.7,156.747,-70.8658,86.1342,45,85.7427,0.746077001
9307,450701464.2,156.747,-70.8658,20.1342,26,20.0704,1.245944977
9307,450701466.7,156.747,-70.8658,130.134,29,129.334,1.213460982
9307,450701469.4,156.747,-70.8658,69.1342,27,69.8295,1.418462992
9307,450701472.4,156.747,-70.8658,142.134,95,143.089,1.686349988
9307,450701475.2,156.747,-70.8658,148.134,102,149.641,1.433752
9307,450701478.2,156.747,-70.8658,116.134,72,116.232,1.475342989
9307,450701482.4,156.747,-70.8658,155.134,170,155.921,1.698069036
9307,450701486.1,156.747,-70.8658,78.1342,26,78.5834,2.323881984
9307,450701488.9,156.747,-70.8658,19.1342,46,19.7782,1.370405018
330,450698334.3,183.91,-21.3854,150.615,51,151.107,4.261145055
330,450698339.9,183.91,-21.3854,43.6146,52,42.9206,2.524737
330,450698345.9,183.91,-21.3854,114.615,56,114.905,2.915045023
330,450698371.8,183.91,-21.3854,84.6146,105,83.8108,2.387228966
330,450698375.4,183.91,-21.3854,178.615,78,178.032,1.145213008
330,450698379.2,183.91,-21.3854,147.615,100,146.974,1.424331009
330,450698382.1,183.91,-21.3854,68.6146,15,69.4363,0.748676002
330,450698385.6,183.91,-21.3854,14.6146,11,14.5182,0.865305007
330,450698391.2,183.91,-21.3854,95.6146,112,78.5152,3.283230007
330,450698399.7,183.91,-21.3854,138.615,62,137.603,1.796348989
7930,450697762.9,187.03,-80.897,173.103,133,157.677,2.83279705
7930,450697768,187.03,-80.897,144.103,58,142.004,1.956966996
7930,450697774.3,187.03,-80.897,-175.897,94,-176.806,1.329066992
7930,450697778.8,187.03,-80.897,35.103,58,37.6858,1.129557014
7930,450697783.4,187.03,-80.897,137.103,181,107.785,2.808899999
7930,450697787.4,187.03,-80.897,67.103,92,67.4925,1.482057989
7930,450697791.7,187.03,-80.897,25.103,98,24.6824,1.024151027
7930,450697795,187.03,-80.897,39.103,52,39.803,0.900063992
7930,450697799,187.03,-80.897,48.103,119,50.5199,0.93599999
7930,450697802.5,187.03,-80.897,140.103,27,141.731,1.101577997
