Participant ID,Time,Requested Force,Tap Force
6905,450619302.3,Soft,0.0766062
6905,450619307.1,Medium,0.16072
6905,450619310.8,Hard,0.323854
6905,450619314.2,Soft,0.0976573
6905,450619317.7,Hard,0.260154
6905,450619321.1,Hard,0.349356
6905,450619324.2,Soft,0.064897
6905,450619327.2,Soft,0.077586
6905,450619330.6,Hard,0.486012
6905,450619333.7,Soft,0.0532979
6905,450619336.9,Hard,0.393799
6905,450619340,Hard,0.414062
6905,450619343.1,Hard,0.226342
6905,450619346.2,Soft,0.0838423
6905,450619349.4,Medium,0.099429
6905,450619352.5,Hard,0.283486
6905,450619355.8,Hard,0.253225
6905,450619359.7,Medium,0.184278
6905,450619362.8,Medium,0.215637
6905,450619365.9,Hard,0.288065
6905,450619369.1,Medium,0.180033
6905,450619372.1,Medium,0.108671
6905,450619375.1,Medium,0.242273
6905,450619377.7,Medium,0.195887
6905,450619380.4,Medium,0.200171
6905,450619383.3,Soft,0.0383653
6905,450619385.9,Soft,0.0556444
6905,450619388.7,Soft,0.0248422
6905,450619391.3,Soft,0.0679442
6905,450619394,Medium,0.136443
1799,450552676.4,Soft,0.0260159
1799,450552682.7,Medium,0.0686676
1799,450552687.4,Hard,0.439137
1799,450552691.4,Medium,0.0525817
1799,450552694.8,Hard,0.30908
1799,450552698.3,Soft,0.0308323
1799,450552701,Hard,0.200161
1799,450552703.9,Medium,0.0713246
1799,450552707.3,Hard,0.321086
1799,450552713.7,Hard,0.538177
1799,450552716.6,Soft,0.0348968
1799,450552720.2,Hard,0.35354
1799,450552722.6,Hard,0.467776
1799,450552725.5,Medium,0.106808
1799,450552727.7,Soft,0.0339669
1799,450552731.7,Medium,0.28416
1799,450552734.4,Soft,0.0135841
1799,450552736.7,Hard,0.327934
1799,450552739.3,Hard,0.309635
1799,450552741.7,Soft,0.0181278
1799,450552744.8,Hard,0.268829
1799,450552747.5,Medium,0.102038
1799,450552750.4,Soft,0.0192007
1799,450552752.4,Soft,0.1014
1799,450552755.1,Soft,0.0488663
1799,450552757.3,Soft,0.0193574
1799,450552760.6,Medium,0.148536
1799,450552762.7,Medium,0.125326
1799,450552765,Medium,0.192214
1799,450552767.6,Medium,0.138964
7519,450553991.3,Soft,0.0488646
7519,450553997.3,Medium,0.11326
7519,450554000,Hard,0.395086
7519,450554002.2,Hard,0.547908
7519,450554004.5,Medium,0.34599
7519,450554006.1,Hard,1.12
7519,450554007.8,Hard,1.57628
7519,450554012.1,Medium,0.213449
7519,450554014.3,Hard,0.436482
7519,450554015.9,Soft,0.224479
7519,450554017.5,Soft,0.268873
7519,450554024.4,Hard,0.218765
7519,450554026.2,Hard,0.337448
7519,450554027.3,Hard,0.397708
7519,450554028.4,Hard,0.431629
7519,450554029.5,Soft,0.179543
7519,450554030.6,Medium,0.467273
7519,450554031.7,Soft,0.340429
7519,450554032.9,Soft,0.0732206
7519,450554034,Medium,0.779602
7519,450554035.5,Hard,0.825571
7519,450554036.7,Medium,0.223246
7519,450554038.5,Soft,0.15488
7519,450554039.5,Soft,0.100632
7519,450554040.5,Soft,0.132114
7519,450554041.5,Soft,0.128714
7519,450554042.9,Medium,0.166959
7519,450554044,Medium,0.405671
7519,450554045.5,Medium,0.341192
7519,450554046.7,Medium,0.367443
6141,450564132,Soft,0.0772838
6141,450564134.1,Medium,0.135276
6141,450564135.4,Hard,0.415796
6141,450564138,Medium,0.206858
6141,450564142.3,Hard,0.322186
6141,450564144.2,Hard,0.49102
6141,450564145.5,Hard,0.301371
6141,450564146.8,Hard,0.494264
6141,450564148,Hard,0.289135
6141,450564149.4,Soft,0.055438
6141,450564150.4,Soft,0.0887531
6141,450564151.5,Soft,0.0540652
6141,450564153,Hard,0.512782
6141,450564154.4,Medium,0.199876
6141,450564155.8,Hard,0.200923
6141,450564157.3,Soft,0.0409573
6141,450564158.5,Hard,0.792475
6141,450564159.8,Hard,0.392049
6141,450564161.5,Medium,0.0428379
6141,450564162.9,Soft,0.0212678
6141,450564164.5,Medium,0.127574
6141,450564165.6,Soft,0.0835896
6141,450564166.8,Soft,0.0323205
6141,450564168.1,Medium,0.05908
6141,450564169.4,Medium,0.122384
6141,450564170.4,Medium,0.211056
6141,450564171.6,Medium,0.144115
6141,450564173.4,Soft,0.0735623
6141,450564174.4,Soft,0.0502374
6141,450564175.7,Medium,0.123585
